fen
r4rk1/p1p2ppp/1p1bpq2/P7/1P1PR3/2P2N2/2Q2PPP/R5K1 b - - 0 17
r3k1nr/pp1n1ppp/2pq4/4Nb2/3P4/8/PPPBB2P/R2QK2R w KQkq - 2 16
rn3rk1/pb2ppbp/1p4p1/2pq4/4NP2/2PP1N1P/PPQ3P1/R1B2RK1 b - - 2 12
1r2r1k1/p1Q2ppp/1p3n1q/3P4/8/6PP/PB3PB1/2RR2K1 b - - 0 23
r2q1rk1/1bp2pp1/p6p/1p6/3PN3/3nP3/PP1Q2PP/R4RK1 w - - 0 17
3r2k1/p1q2pp1/1p1np2p/8/1PPr1P2/P2P1BP1/3RQPKP/3R4 w - - 6 27
2rq1rk1/pp4p1/2p1pn2/6P1/P2P4/2P1P3/1P6/R1BQK1NR b KQ - 0 17
r4r2/pp1B1ppk/6bp/3N4/8/3P4/PPP5/1K4R1 b - - 0 24
2rr2k1/pbq1bppp/1p2p3/n7/P1PP4/3QBN1P/5PP1/RB2R1K1 b - - 8 22
r3q1k1/pp2n1p1/1b5p/2ppNb2/3P3N/2P3B1/PP2Q1PP/5RK1 b - - 1 22
2r2rk1/1p1b1ppp/p2bp3/2ppqn2/P7/1P1P1BP1/N1PB1P1P/1R1Q1RK1 b - - 0 18
3r1rk1/R4ppp/1n6/8/2B5/2PR3P/5PP1/6K1 w - - 1 25
r1b2rk1/ppp1qppp/2np1n2/8/2Q5/2N1B3/PPP2PPP/2KR1B1R b - - 1 13
2kr1b1r/ppp1n3/5p2/P3p3/6p1/1P1P2q1/2PB4/R2QKRN1 w - - 0 22
rn3rk1/4ppbp/1n4p1/p1N1P3/Pp3B2/1P3N2/2PR1PPP/2K4R b - - 2 19
2rq1rk1/pb1n1p1p/1pn3pQ/3pP3/3P1P2/P2BB3/6PP/R3K1NR b KQ - 1 16
r4rk1/ppp2pp1/2n1b2p/3QP1q1/8/2P3P1/PP1NPPP1/R3KB1R w KQ - 1 15
r1b2rk1/pp3pp1/7p/2PQb2P/6Pq/3R4/PP1N2B1/R1B2K2 b - - 0 20
r1b2rk1/p1q1bppp/2p1pn2/6B1/2BP4/2N5/PP3PPP/R2Q1RK1 w - - 5 12
r2q1rk1/5pbp/p1n1p1p1/1p1pP3/2pP2Q1/P3B2P/NP3PP1/R4RK1 b - - 2 16
3q1rk1/1Q4pp/p2b4/5p2/3PpP2/P1BbP2P/1Pr3P1/R3R1K1 w - - 0 21
r4rk1/p4p1p/1qp2p2/3p4/6b1/2NPb1P1/PPQ1P1BP/1R3K1R b - - 5 15
2r2rk1/1b2np2/pq3Ppp/1p1pb3/7N/PP1B3Q/4NR1P/R1B3K1 b - - 2 25
7r/p1pk3p/1p2p3/2p1Pp2/2P2p2/3Pr3/PP3K2/3R4 w - - 0 28
r2q1rk1/2p3p1/p1np3p/1p1N1b2/5P2/1B2R2P/PPP2QP1/3R2K1 b - - 1 21
rnbq1rk1/pp4p1/6Pp/1Pppbn1P/4p3/B1N1Pp1B/P1PP1P2/R3KQNR b KQ - 3 16
r2q1rk1/ppp1bppp/3p1n2/4n1Bb/1P2P3/2P2N1P/P2NBPP1/R2QR1K1 b - - 2 12
r1b2n2/1p4k1/p1p1p1pp/2P5/3q4/2N5/PPQ2PPP/4R1K1 w - - 0 25
2kr1b1r/1pp1ppqp/p1n1bn2/1Q6/3P4/2P1BN1P/PP1N1PP1/R3KB1R w KQ - 0 15
r3q1k1/pp3pp1/5n1p/3p1N2/1b6/8/PPP1NPPP/R2Q2K1 b - - 1 16
r4rk1/pb2qp1p/2N3p1/5p2/5P2/1P6/PQ4P1/2R2R1K b - - 0 26
2k2r2/p7/1p6/2P4p/3pb3/P1P2Nq1/3QB3/1R3R1K b - - 1 27
r2q1rk1/pp2bppp/3p4/2pPp3/3n4/1P1P1B2/PBP2PPP/R2Q1RK1 w - - 1 12
b1k5/5r2/1Ppb4/3Np2r/4Np2/P2P3P/2P3P1/1R3RK1 b - - 1 30
3r3r/ppk2ppp/5b2/N1PP4/2P2P2/6PB/PP6/2KR4 b - - 0 21
r2qkr2/1ppnb3/p3p2p/5Q2/2B4p/2N2P2/PPP5/2KR3R w q - 0 18
r2qr2k/pbp2p1p/1p1p1pn1/3P4/2P1PP2/3B4/P1QN2PP/R4RK1 b - - 0 16
r3k2r/pp1n1p2/2p2n1p/3p2p1/N2P4/4PBqP/PP4P1/R2Q1RK1 b kq - 1 15
2rqr1k1/1p1nppb1/5npp/pNPp4/3P4/3BPQBP/P4PP1/R4RK1 b - - 2 16
r1b2rk1/ppp2pp1/8/8/3P2Bq/2P1P3/PP4PK/RNBQ1R2 w - - 1 14
3r1rk1/4q1bp/3pp1p1/1p2n3/2p1PNP1/1P2B2P/2P1Q1K1/3R1R2 b - - 1 23
r2qr1k1/p4ppp/1p6/2p5/3b1N2/PP1P1P2/1P4PP/1R1Q1R1K b - - 0 18
1r1qkr2/pp1nb2p/2pp3p/1Q3b2/3P3P/5N2/PPPN2P1/2K1RB1R w - - 0 14
rn1qr2k/pp3Qp1/2pb3p/4B3/3P3P/8/BPP3P1/2KR3R w - - 1 18
2r3k1/1p3b1p/2p1r1p1/P2pP3/7q/1P1BQ2P/6PK/2R1R3 w - - 3 31
r4r1k/2p3p1/p3p1Qp/1q2N3/3P4/1Pn1P3/P4PPP/R4RK1 w - - 1 22
6k1/1b3ppp/pn6/3qP3/2p2Q2/5P2/PPP3PP/3NR2K b - - 2 25
1q1r1rk1/pb1nbppp/1p2pn2/2p5/8/1P2PN2/PBPNBPPP/3RQRK1 w - - 8 14
nk3r2/1p1rq2b/2p1p2p/P3P1p1/3P1p2/2PB1PP1/1Q2N2P/RR4K1 w - - 0 24
r1b1nrk1/1pq1bpp1/p1npp2p/8/P1B1P3/2N2NBP/1P2QPP1/2RR2K1 b - - 5 15
6k1/2q1nbb1/1p3ppp/pB1p1p2/3P1P2/1PP2NP1/P1N1QK1P/8 w - - 12 26
r3r1k1/2p2ppp/p1nb1n2/1p1B2Nb/3P4/P1P4P/1P4P1/RNB2RK1 b - - 1 15
2kr2nr/3qpp2/p1n3pb/1pp1Pb1p/2Pp1P1N/N2P1B2/PP4PP/R1BQ1RK1 b - c3 0 13
