puzzle_id,fen,mating_moves,rating
WIy3d,r2r1qk1/5p2/p3p1pQ/1p4N1/8/6N1/5PP1/5RK1 w - - 6 38,h6h7,780
P53Nr,rn1qkb1r/p4ppp/2b5/1p1QN3/2pP4/4P3/1P3PPP/R1B1KB1R w KQkq - 1 12,d5f7,1172
8LjXH,r1bq1rk1/pp2np1p/2n1p1pB/2pp4/2B1P3/P2P1N2/2PN1PPP/Q4RK1 w - - 0 11,a1g7,1107
SLJ4t,r2kr3/1p1P2pp/p7/1B6/8/5N2/q4PPP/2R3K1 w - - 0 23,d7e8q d7e8r,1202
odHlt,rn2k2b/pbp5/1pqppnpB/5pN1/2BP4/3QP3/PPP2PPP/R4RK1 b q - 5 14,c6g2,563
2Nndz,r1bq1rk1/p1p1n1p1/1pnbpp2/3p2NQ/2PP4/2N1P3/PP1B1PPP/R4RK1 w - - 0 12,h5h7,898
lVnFe,6k1/7p/p1p3p1/2Np4/1PpP2b1/P1P4n/6PP/6RK b - - 0 33,h3f2,1024
UaD4p,2kr3r/pp1bnppp/8/2b2P2/3q1p2/5QP1/PPP3BP/R1K4R w - - 0 19,f3b7,558
wQWhe,6k1/pp3pp1/3q1nN1/2pp4/3P4/2P1r2Q/PP3PPP/6K1 w - - 0 25,h3h8,1008
wPzSc,1r6/4kp2/4b2R/p7/8/p1PB4/1r4PP/K3R3 b - - 4 36,b2a2,1356
z5Pp0,r1b2rk1/ppq1ppbp/6p1/3N2B1/2PNP1n1/1P6/P4PPP/2RQ1RK1 b - - 0 14,c7h2,655
oYo6C,r4rk1/1b3ppp/p2q1b2/1p1Pp3/8/3Q4/PPB2PPP/RN2R1K1 w - - 3 17,d3h7,527
QArDf,8/1p2rpkp/p1b3p1/6q1/5Q2/1BPRP2P/PP4P1/7K b - - 0 29,g5g2,1195
t3y8h,r1bq4/ppp2rp1/2n1p2k/5p1P/2PP1PQ1/2P1B3/P5P1/R3K2R w KQ - 0 16,g4g6,940
aOuLk,3r1k2/ppqn1pp1/2pb4/6p1/2BPn1P1/5Q1P/PP3P2/2R1R1K1 w - - 0 19,f3f7,574
e96cI,r1bq1rk1/2p1bppp/p7/1p1pP3/2nP4/2PQ1N2/P1B2PPP/R1B1K2R w KQ - 3 14,d3h7,811
m6jEI,r4rk1/2p3qp/1p1p4/p2Ppp2/2P1nn2/2N2N1P/PP3PPK/R1Q2R2 b - - 3 21,g7g2,650
Yle7m,3Q1bk1/5p1p/6pq/4N2n/8/1P3P2/P5PP/6NK b - - 0 29,h5g3,953
H8YJZ,r3n2k/3p2bP/q3p3/5r2/3N3N/3p4/PP1B1PP1/R3K2R w KQ - 0 22,h4g6,1105
pqoUM,6r1/1p6/p1p2k1p/3bNp2/1R1P1P2/4P2P/5nBK/1R6 b - - 0 39,g8g2,901
wwsj7,1rb1k1r1/p2p1p1p/2p1pp2/q7/4P3/P1N5/2PQ1PPP/2KR1B1R b - - 0 13,a5a3,681
SOkuO,4q1rk/6p1/6Qp/8/3B1p1P/5P2/5PK1/8 w - - 6 40,g6h6,1414
gz0ll,kr5r/2RR1pq1/b3p3/1p1pP2p/1P1P2p1/P2B1N1P/5PP1/6K1 w - - 0 32,c7a7,807
OwsAb,r1b1r1k1/pp1n2b1/3q3p/2pP1PN1/N1P1p1n1/8/PPQ1BBPP/R4RK1 b - - 0 18,d6h2,867
rlU9b,r2q1rk1/1b3pbp/p2pB1p1/npp3N1/4Pn1Q/2NP4/PPP2PPP/R4RK1 w - - 0 15,h4h7,942
BQ2qx,r2qr2Q/pppbk1p1/2nbp3/6N1/3P4/2P5/PP3PPP/R1B1K2R w KQ - 7 17,h8g7,1074
3gp9P,8/1pk2Np1/2p2n2/2b5/p7/P4KP1/1P5r/2R1R3 b - - 3 29,h2f2,901
43kWO,r1bq1rk1/1p2bppp/p3p3/2P5/4QB2/1n1B4/PP3PPP/4RRK1 w - - 0 17,e4h7,735
Gq64Z,r2q1rk1/pp2npp1/2p1p2p/3nP1N1/3P1PP1/2PQ3P/P5K1/R1B2R2 w - - 0 19,d3h7,866
ZKmJA,3r1rk1/p1q2pp1/1ppbp1bp/8/2PQ1P2/1P4P1/PB3RBP/3R2K1 w - - 0 21,d4g7,719
