puzzle_id,fen,key_moves,mate_in,rating
peJZF,r3r1k1/1N3ppp/p1n2b2/2pn3q/8/5NB1/PP2QPPP/R3R1K1 w - - 1 19,e2e8,2,616
0Sgo5,7r/1kpNR3/pp6/6N1/3P1p2/2P3n1/PP4P1/6K1 b - - 3 32,h8h1,2,1064
4iN83,rn1q1r2/3p1p1k/b1p1pQp1/p3P3/Pp4P1/1B2R3/1PP1nP1P/RN5K w - - 4 23,e3h3,2,1192
zjSJt,8/8/5R2/1k6/p5P1/2rr4/PK3R2/8 b - - 0 44,a4a3,2,1260
iNAb5,4k3/2R3pp/4Np2/2pK4/8/2rp4/8/8 w - - 0 52,d5d6,2,1941
VcSaI,8/1p3Qpk/p6p/P3p3/2P1b3/4q2P/6B1/5R1K b - - 0 38,e3h3,2,1421
6nmDa,k3r3/1bB2ppp/p2P4/8/3P1Q2/2Nq4/PP3PPP/3R2K1 b - - 2 24,d3d1,2,752
XRdWv,r1b2rk1/p3pp2/2pp1n2/5Np1/3bq3/6B1/P1P1B1PP/2Q2R1K w - - 4 21,c1g5,2,1591
9cSJw,2r2r1k/pb6/1p2p2p/3n4/3PB3/5Pq1/PP1Q4/R1R2K2 w - - 0 30,d2h6,2,831
UCIbA,7R/7P/6r1/8/5p2/5k2/8/7K b - - 0 84,f3f2,2,1595
C8Mzb,r3r1k1/ppp2ppp/1b3q2/3P4/6Q1/2N5/PPP2PPP/R1B2RK1 b - - 0 13,f6f2,2,1716
ziNfw,5R2/4r1k1/p3B1pp/1p1pP1pP/1b1q4/1P6/6P1/5R1K w - - 0 31,f8g8,2,1902
Xbyic,3Rr1k1/2p2p2/1b3Bpp/p2qP3/1pp5/4P3/PP3PPP/6K1 w - - 0 29,d8e8,2,1155
aHPQr,8/1R1Pr1pk/p6p/qp1Q4/5BP1/5P1P/P6K/8 b - - 2 38,e7e2,2,1088
2Xo7C,7Q/3k4/5PQ1/8/6P1/r7/1r6/5K2 b - - 2 73,a3a1,2,1073
KrxX1,r5k1/1pp2ppp/5q2/p7/1bP1r3/1Q1p2B1/3N2PP/3R1BKR b - - 3 22,b4c5,2,1418
7LnTq,r1b3k1/pp3p2/4p1pB/8/1R2N3/3r1N2/P4PPP/6K1 b - - 0 20,d3d1,2,458
GzKVb,1r3k2/2p2p1Q/p1B1pb2/8/2nq4/3R4/Pp3PPP/1K1R4 b - - 1 25,c4a3,2,976
84It3,r2r2k1/5pp1/4q2p/p6N/4nPPK/P6P/3R2Q1/2B2R2 b - - 0 35,g7g5,2,1817
mlgbF,5k2/R1R2p1p/6p1/6K1/3P2P1/P4r2/6nP/8 b - - 3 39,f7f6,2,1299
Wu7Cs,5r1k/4R1bp/4Q1p1/8/8/1P6/Pq2p1PP/4R2K b - - 9 35,f8f1,2,930
JbMxc,6k1/6r1/3P4/4pQP1/1P2P3/8/KR6/5q2 b - - 2 50,g7a7,2,1349
aSezw,7k/3b1B1p/6p1/8/3b4/1P6/7P/3R3K b - - 1 33,d7c6,2,857
68H5k,1r3r1k/1bQ2B1p/p5p1/1p6/3P3q/2N1P3/PP4PP/R5K1 w - - 1 23,c7e5,2,1240
A9I31,2k5/ppp5/7p/6p1/PPB2p2/2P2q2/1K1R3P/1N6 w - - 2 36,c4e6,2,905
KDDKy,3r1q2/5pk1/4p1pp/4P3/1p5R/1P1p1P1P/P2Q2P1/7K w - - 0 40,d2h6,2,835
ihteP,r4rk1/ppp3pp/8/3pq3/6Bn/3P1P1P/PPPQ1N2/R4RK1 b - - 1 23,e5g3,2,1663
ZFB5v,3r3k/pb2n1pp/1p5r/1P2N3/8/P5Pq/2P1BP1P/3R1RK1 w - - 0 25,d1d8,2,1583
b0fO1,2r4k/BR1R1Bpp/8/8/8/6P1/P6r/5K2 b - - 0 28,c8c1,2,632
Aod18,5rk1/1p1b1ppp/p3p1q1/2bpP3/5P2/P5P1/1PN3P1/R1BQ1R1K b - - 0 27,g6h6,2,1025
W7S8O,3R4/p3kpp1/2p1pq1p/2p5/2P5/6Q1/P1P2PPP/6K1 b - - 0 21,f6a1,2,1283
