puzzle_id,fen,key_moves,mate_in,rating
sp002370,B7/8/8/7p/5b1P/7K/3k1q2/1r6 b - - 34 98,f2g3 f2h2,1,0
sp003081,2B3K1/5N2/4QP2/q7/1p3k2/1bn1p3/8/8 w - - 5 61,e6g4,1,0
sp001655,8/8/p1B5/P6p/5p1P/1b1n3K/5k2/4b1b1 b - - 5 58,b3e6,1,0
sp002763,3R3K/8/4p3/4p3/4P2P/8/1k3q2/q5q1 b - - 53 95,f2h4,1,0
sp001388,1q2Q3/8/8/3K1k2/3P1b2/6p1/4q3/8 b - - 1 61,b8d6,1,0
sp002704,3BQ3/2K5/2P2P1k/7p/p4p1P/P1n5/2B5/r7 w - - 13 52,e8h8 e8f8 e8g6,1,0
sp000397,2r5/6bk/p2p1P1p/8/2P2P2/P1p4P/K7/1r1q3R b - - 0 32,d1b3 d1c2 b1b2 b1a1,1,0
sp000417,R7/6Q1/8/1p5k/5p1P/6pK/6B1/5R2 w - - 1 40,a8h8 g7h7 g7g5 g2f3,1,0
sp002535,Q7/8/2Np4/Q4P1p/5K1P/8/4k3/5R1r w - - 6 48,a8a6,1,0
sp000352,8/8/3p4/2pQ1P2/k3p3/1NP5/1PB5/1K2b3 w - - 3 47,d5c6 d5c4,1,0
sp002065,r1k5/ppp1Qp2/7p/1b4B1/5n2/P1P1pP2/1P1N2PP/2KR3R w - - 3 18,e7d8,1,0
sp000713,2k5/3R4/p1N5/P1P2B2/8/4pPpK/8/6b1 w - - 0 39,d7h7 d7g7 d7f7 d7e7 d7a7,1,0
sp001548,r6r/3nb3/pp1pkn2/2p1p1p1/4P3/P1PP1N1P/4BP2/1R2K2R w K - 0 21,f3g5,1,0
sp003160,7R/1B3p2/1P3Pk1/2p3P1/5P2/2K2P2/8/7r w - - 3 33,b7e4,1,0
sp000604,3r3r/3k1p2/pnp2P1p/4P1p1/8/2QP1B1P/6P1/5RK1 w - - 0 23,c3c6,1,0
sp002267,1R6/8/5K1k/7p/2p4P/2P5/5bQ1/7r w - - 20 86,b8h8 g2g7 g2g6,1,0
sp001046,QQ6/8/3p1k2/3R1PN1/2P1pK2/8/2B3P1/1q6 w - - 1 43,b8f8,1,0
sp002199,Q6R/6k1/8/5K2/8/8/8/3q3Q w - - 1 61,h8h7 a8g8 a8f8 h1h7,1,0
sp002720,4k3/1p2P1p1/8/2p2pP1/2P2P2/rNK2P2/8/3q3r b - - 0 26,a3b3,1,0
sp002104,Q7/2q5/1pp5/8/8/PpP5/1P2k1p1/2K4R b - - 1 36,g2h1q g2h1r,1,0
sp001385,r3kb1r/5ppp/pnp2n2/6B1/2P5/P1K3Q1/1P3PPP/3q1B1R b kq - 4 16,f6e4 b6a4,1,0
sp001087,Q1KB1RR1/3P4/5N2/8/5k2/6b1/8/8 w - - 49 116,a8e4 f6g4,1,0
sp003102,6Q1/3k4/5p2/R1P3b1/1p5r/2n2pK1/4b3/8 b - - 1 38,c3e4,1,0
sp002680,3Q4/8/1Bp5/5p1k/5P2/7K/8/3bq3 w - - 11 94,d8g5,1,0
